autonomous_community;province_name;province
Andalucía;Almería;AL
Andalucía;Cádiz;CA
Andalucía;Córdoba;CO
Andalucía;Granada;GR
Andalucía;Huelva;H
Andalucía;Jaén;J
Andalucía;Málaga;MA
Andalucía;Sevilla;SE
Aragón;Huesca;HU
Aragón;Teruel;TE
Aragón;Zaragoza;Z
Principado de Asturias;Asturias;O
Canarias;Las Palmas;GC
Canarias;Santa Cruz de Tenerife;TF
Cantabria;Cantabria;S
Castilla y León;Ávila;AV
Castilla y León;Burgos;BU
Castilla y León;León;LE
Castilla y León;Palencia;P
Castilla y León;Salamanca;SA
Castilla y León;Segovia;SG
Castilla y León;Soria;SO
Castilla y León;Valladolid;VA
Castilla y León;Zamora;ZA
Castilla-La Mancha;Albacete;AB
Castilla-La Mancha;Ciudad Real;CR
Castilla-La Mancha;Cuenca;CU
Castilla-La Mancha;Guadalajara;GU
Castilla-La Mancha;Toledo;TO
Cataluña;Barcelona;B
Cataluña;Girona;GI
Cataluña;Lérida;L
Cataluña;Tarragona;T
Ceuta;Ceuta;CE
Comunidad Valenciana;Alicante;A
Comunidad Valenciana;Castellón;CS
Comunidad Valenciana;Valencia;V
Extremadura;Badajoz;BA
Extremadura;Cáceres;CC
Galicia;La Coruña;C
Galicia;Lugo;LU
Galicia;Orense;OR
Galicia;Pontevedra;PO
Islas de Baleares;Baleares;PM
Comunidad de Madrid;Madrid;M
Melilla;Melilla;ML
Región de Murcia;Murcia;MU
Comunidad Foral de Navarra;Navarra;NC
País Vasco;Álava;VI
País Vasco;Guipúzcoa;SS
País Vasco;Vizcaya;BI
La Rioja;La Rioja;LO
