region,subregion,max_act_sub_cases,max_act_sub_deaths,max_act_sub_cum_cases,max_act_sub_cum_deaths,date_start_cases,date_start_deaths
Brasil,State,27,27,27,27,2020-02-25,2020-03-17
Colombia,Municipalities,795,199,1040,1011,2020-03-02,2020-03-15
Europe,Country,30,29,30,30,2020-01-01,2020-02-13
Georgia,County,159,140,159,159,2020-03-03,2020-03-12
Illinois,County,102,94,102,102,2020-01-24,2020-03-17
India,State,37,35,37,37,2020-03-13,2020-03-13
Kansas,County,105,89,105,105,2020-03-08,2020-03-12
Kentucky,County,120,93,120,120,2020-03-09,2020-03-15
Missouri,County,115,113,115,115,2020-03-06,2020-03-18
North Carolina,County,100,95,100,100,2020-03-03,2020-03-25
Spain,Province,52,51,52,52,2020-01-09,2020-02-13
Texas,County,252,148,254,253,2020-03-06,2020-03-15
USA,State,58,53,60,60,2020-01-23,2020-02-27
Virginia,County,133,98,133,133,2020-03-08,2020-03-14
World,Country,183,140,218,214,2020-01-23,2020-01-23
