region,subregion,date,hurst_value,hurst_sd,information,window_flag,length,hurst_excess_fit,hurst_excess_lower,hurst_excess_upper
Brasil,State,2020-05-24,0.727399082761336,0.1482525273215819,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-25,0.7386548018878418,0.14449166695149906,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-26,0.7349657730755966,0.14283531237648428,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-27,0.7313737400804958,0.1443296996894481,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-28,0.6963995673318633,0.1442542817444556,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-29,0.7123023897414161,0.14238440492735177,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-30,0.7192702922638375,0.1402499604447744,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-05-31,0.7080719348862221,0.14529077899161277,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-01,0.7100161360060832,0.1473059987658518,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-02,0.7114316355955128,0.1445310605991691,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-03,0.7175487582760871,0.14512741344448588,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-04,0.7227763030111187,0.1456332925465212,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-05,0.7159451103941556,0.1495657324290683,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-06,0.6987210789135722,0.14655649026975578,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-07,0.696796983454661,0.1452159929586599,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-08,0.6954832332166452,0.14154050381388367,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-09,0.6778766283505363,0.14014549561191159,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-10,0.6641907263968361,0.1379473178021109,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-11,0.6583179839490151,0.1427891891846839,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-12,0.6439814530745864,0.14361417854168637,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-13,0.6326443686083764,0.1509165842611896,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-14,0.6413705552182597,0.15502322107564917,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-15,0.6447554303640466,0.15607096724603228,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-16,0.6342603781826927,0.15381791451465127,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-17,0.6654186658058283,0.14704135524777057,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-18,0.6538506749471281,0.14639790405143377,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-19,0.6557219694107492,0.15010023170206058,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-20,0.6377784774169918,0.1506108666425512,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-21,0.6187653082859612,0.14709555802514068,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-22,0.6208430021216721,0.1460954448050389,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-23,0.6087896078167068,0.1435421585678331,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-24,0.6104159416081375,0.1495105936311895,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-25,0.6015627333276943,0.14941688769612968,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-26,0.5896029548394724,0.15151147476302648,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-27,0.5990258352554804,0.14908838755910958,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-28,0.5846765764427666,0.15070858985749527,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-29,0.5908755847091203,0.1523874478760797,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-06-30,0.5654437006211652,0.14891706960611267,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-01,0.5749969624984382,0.1462254136982657,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-02,0.5693816931214908,0.14875748198915417,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-03,0.5619757255107045,0.14920145815782238,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-04,0.5540826842010009,0.14927745324459787,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-05,0.5573311138750578,0.15070576359351798,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-06,0.5563802848727366,0.15575878536667928,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-07,0.5277431483779633,0.15306895500827758,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-08,0.5318337541543485,0.14711111278301237,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-09,0.5573900365024532,0.1425781622667087,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-10,0.534435076123545,0.15065720331818588,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-11,0.5237818938539024,0.15511328932632748,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-12,0.5173124682710537,0.1568535147612813,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-13,0.5415088091017394,0.1573622575249995,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-14,0.5212382823171541,0.14778489657904678,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-15,0.5101494060097911,0.14768070437191677,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-16,0.4925436253801374,0.14596811274485247,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-17,0.48325950392672,0.1480709070883719,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-18,0.4719471717824645,0.15081657997033948,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-19,0.47492302890597515,0.15849707039637378,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-20,0.4674917798614917,0.16397835913072217,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-21,0.4660293178752185,0.15608390895160237,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-22,0.47184217732128,0.1611677546208959,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-23,0.49444956344467395,0.16096653850094297,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-24,0.4799415857672822,0.16043170087298178,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-25,0.4745060028797087,0.15818034394793817,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-26,0.479890049150387,0.1506251813371819,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-27,0.48076112363231405,0.1472478973957448,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-28,0.44973881100018653,0.14829102389465937,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-29,0.4474827754121473,0.14819480287326459,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-30,0.42661981475640476,0.1509517690326232,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-07-31,0.42766492481905005,0.15091418263781486,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-01,0.4083197535476788,0.15422392310519717,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-02,0.42495211927301446,0.15565930372764147,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-03,0.4159960252872702,0.16143259077067068,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-04,0.3910908984084639,0.15238149090491898,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-05,0.38040435736007305,0.14888460284461488,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-06,0.37867914455152984,0.14336788215199517,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-07,0.36455993813523335,0.15349072726384758,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-08,0.342701719742337,0.15330654852617798,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-09,0.34189290665723815,0.14659758565764977,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-10,0.35517764191528445,0.1566257702376425,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-11,0.3414838733191585,0.1646779365700584,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-12,0.351432203545364,0.16492057036943497,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-13,0.36193310126932643,0.16259031163447749,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-14,0.36479159806029926,0.1639576717456407,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-15,0.35598008954628213,0.16023405647412478,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-16,0.37283824836388324,0.16145620968392468,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-17,0.38973390052700607,0.1621774555995069,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-18,0.3426925946867089,0.16001646973267197,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-19,0.340318604600485,0.15644792400068597,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-20,0.3284134413182528,0.15190134352973517,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-21,0.31082323749273144,0.15597037615910148,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-22,0.28723494040532416,0.15677508592366668,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-23,0.2635677110319098,0.15168603176246517,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-24,0.23793643167577902,0.1504683648410829,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-25,0.22967689631510627,0.15369444734954568,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-26,0.2501185495553665,0.1620663347358474,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-27,0.26280678942327007,0.1600581893016399,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-28,0.2387591827076024,0.15824671171587748,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-29,0.21786945412415223,0.16268123379702468,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-30,0.21354018638863695,0.157204964772804,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-08-31,0.2295802637014164,0.15998709043895448,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-09-01,0.22079833502567167,0.15663164439801427,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
Brasil,State,2020-09-02,0.24119675266436055,0.1578097695180604,cases,fixed,90,0.11395104138965406,0.11138492563347806,0.11651715714583008
