region,subregion,lag,frequency,cum_frequency,psd,days,psd_d1,psd_d2,psd_d1_sd,psd_d2_sd,maxima,lag_days
Brasil,State,19,1,0.05263157894736842,3.970666465171739,19,0.09307544790847722,1.121883823624426,0.11252912373784624,0.17053177540605785,1,19
Brasil,State,25,1,0.04,2.811889790534367,25,0.07262798383059677,0.3761198213461703,0.11252912373784624,0.17053177540605785,2,19
Brasil,State,28,1,0.03571428571428571,2.4837724353123307,28,-0.009877426673985834,0.10298369745076164,0.11252912373784624,0.17053177540605785,3,19
Brasil,State,34,1,0.029411764705882353,2.049696598943992,34,-0.033546883972581654,0.11887570217346122,0.11252912373784624,0.17053177540605785,4,19
Brasil,State,36,1,0.027777777777777776,1.8466394707148326,36,-0.07450594433542035,0.05404523955831886,0.11252912373784624,0.17053177540605785,5,19
Brasil,State,37,1,0.02702702702702703,1.7341295711102513,37,-0.11250989960458124,-0.038003955269160894,0.11252912373784624,0.17053177540605785,6,19
Brasil,State,42,1,0.023809523809523808,1.6610179566398915,42,-0.0030314529549229086,-0.13049631855795862,0.11252912373784624,0.17053177540605785,7,19
Brasil,State,45,1,0.022222222222222223,1.5308319015663086,45,0.054661249952621116,0.11412323384500578,0.11252912373784624,0.17053177540605785,8,19
Brasil,State,44,1,0.022727272727272728,1.4761706516136874,44,-0.05946198389238466,0.06592333724143473,0.11252912373784624,0.17053177540605785,9,19
Brasil,State,46,1,0.021739130434782608,1.452989943426146,46,-0.07784195814016259,-0.1325032080927837,0.11252912373784624,0.17053177540605785,10,19
Colombia,Municipalities,23,1,0.04,5.65844994073526,25,-0.08648379420771946,0.512159545440241,0.16714502667458123,0.21687701173498755,1,25
Colombia,Municipalities,25,1,0.037037037037037035,5.315508332516557,27,-0.15967578706608876,0.023590034086526046,0.16714502667458123,0.21687701173498755,2,25
Colombia,Municipalities,27,1,0.034482758620689655,4.928147693345942,29,0.13627418127627866,0.6599090017231726,0.16714502667458123,0.21687701173498755,3,25
Colombia,Municipalities,29,1,0.03225806451612903,4.481850285038595,31,-0.16664746656160734,0.11300247518413187,0.16714502667458123,0.21687701173498755,4,25
Colombia,Municipalities,31,1,0.030303030303030304,4.20820568981997,33,-0.07304590176454084,0.1275527916895438,0.16714502667458123,0.21687701173498755,5,25
Colombia,Municipalities,32,1,0.029411764705882353,4.047603679913058,34,-0.16060200990691165,-0.0875561081423708,0.16714502667458123,0.21687701173498755,6,25
Colombia,Municipalities,34,1,0.027777777777777776,3.863180558762733,36,0.0390587510180338,0.2625406231863927,0.16714502667458123,0.21687701173498755,7,25
Colombia,Municipalities,35,1,0.02702702702702703,3.8059212301287983,37,-0.05725932863393446,-0.09631807965196826,0.16714502667458123,0.21687701173498755,8,25
Colombia,Municipalities,37,1,0.02564102564102564,3.452868282263543,39,-0.14559863120141303,0.06185568546242948,0.16714502667458123,0.21687701173498755,9,25
Colombia,Municipalities,38,1,0.025,3.3830919434272397,40,-0.06977633883630308,0.07582229236510996,0.16714502667458123,0.21687701173498755,10,25
Europe,Country,21,1,0.047619047619047616,1.470598861941269,21,0.03484870899264836,1.5063624489220928,0.11122552320821845,0.1320103583424907,1,21
Europe,Country,27,1,0.037037037037037035,1.3617840086623259,27,0.03222345846962171,0.10023808699475634,0.11122552320821845,0.1320103583424907,2,21
Europe,Country,26,1,0.038461538461538464,1.3295605501927041,26,-0.06801462852513462,0.2284648114517709,0.11122552320821845,0.1320103583424907,3,21
Europe,Country,28,1,0.03571428571428571,1.3129231165939352,28,-0.048860892068390616,-0.08108435053801233,0.11122552320821845,0.1320103583424907,4,21
Europe,Country,29,1,0.034482758620689655,1.2088736057410516,29,-0.10404951085288361,-0.05518861878449299,0.11122552320821845,0.1320103583424907,5,21
Europe,Country,31,1,0.03225806451612903,1.1288300721290314,31,0.1022562574648409,0.284556048541702,0.11122552320821845,0.1320103583424907,6,21
Europe,Country,34,1,0.029411764705882353,1.1000322914285172,34,0.09795787875593298,0.07839476532264034,0.11122552320821845,0.1320103583424907,7,21
Europe,Country,36,1,0.027777777777777776,1.0595492398733295,36,0.0661359244579528,0.17275490047109332,0.11122552320821845,0.1320103583424907,8,21
Europe,Country,33,1,0.030303030303030304,1.0020744126725842,33,0.019563113433292645,0.16588188632303247,0.11122552320821845,0.1320103583424907,9,21
Europe,Country,38,1,0.02631578947368421,0.908072189186044,38,-0.05274821423594411,0.04598062221539723,0.11122552320821845,0.1320103583424907,10,21
Georgia,County,146,1,0.00684931506849315,1.4320568799950364,146,0.017668563923523006,2.0182020506925142,0.04001634159380229,0.058949740273670066,1,146
Georgia,County,157,1,0.006369426751592357,1.1451804299680974,157,0.03049931100796055,0.83025501992782,0.04001634159380229,0.058949740273670066,2,146
Georgia,County,231,1,0.004329004329004329,0.8058277229861806,231,-0.012503751968156007,0.17877514859233967,0.04001634159380229,0.058949740273670066,3,146
