region,subregion,date,distribution_name,information,scale,inequality,shape,aic,bic,meanlog,sdlog,log-likelihood
Brasil,State,2020-04-16,burr,cum_cases,1174.98474571616,297.929741432241,0.00699231058612796,428.269667183241,432.157177781254,NA,NA,NA
Brasil,State,2020-04-16,burr,cum_deaths,73.1679231758053,279.688808571219,0.00820274449489896,270.791531796152,274.679042394165,NA,NA,NA
Brasil,State,2020-04-16,gamma,cum_cases,1151.88888888889,NA,0.64190393773754,434.437636181275,437.029309913284,NA,NA,NA
Brasil,State,2020-04-16,gamma,cum_deaths,72.6666666666667,NA,0.49888883920495,277.672195012639,280.263868744648,NA,NA,NA
Brasil,State,2020-04-16,lognormal,cum_cases,NA,NA,NA,426.772094667481,476.772094667481,6.09602347856671,1.36909515675563,211.386047333741
Brasil,State,2020-04-16,lognormal,cum_deaths,NA,NA,NA,265.982692686476,315.982692686476,3.01225173869048,1.52248147249016,130.991346343238
Brasil,State,2020-04-16,weibull,cum_cases,887.918733652965,NA,0.722842317746337,431.755506716113,434.347180448122,NA,NA,NA
Brasil,State,2020-05-01,burr,cum_cases,3595.89593338754,316.747597312742,0.00663502429330983,487.897781728843,491.785292326856,NA,NA,NA
Brasil,State,2020-05-01,burr,cum_deaths,240.704414685153,290.221554825049,0.00771935937479217,336.877017103166,340.764527701179,NA,NA,NA
Brasil,State,2020-05-01,gamma,cum_cases,3432.0370370381,NA,0.773777919928881,496.319288250801,498.910961982809,NA,NA,NA
Brasil,State,2020-05-01,gamma,cum_deaths,238.481481481482,NA,0.499510388021193,341.89577672267,344.487450454679,NA,NA,NA
Brasil,State,2020-05-01,lognormal,cum_cases,NA,NA,NA,487.538913011192,537.538913011192,7.37050283175759,1.1793720398406,241.769456505596
Brasil,State,2020-05-01,lognormal,cum_deaths,NA,NA,NA,331.376730406292,381.376730406292,4.2024894068443,1.55442096359933,163.688365203146
Brasil,State,2020-05-01,weibull,cum_cases,2926.0362222604,NA,0.799454670911163,494.465055170946,497.056728902954,NA,NA,NA
Brasil,State,2020-05-15,burr,cum_cases,8972.60139027558,34.1328808791398,0.06399483261726,539.043033798801,542.930544396814,NA,NA,NA
Brasil,State,2020-05-15,burr,cum_deaths,565.993498651043,319.090273465517,0.006891656542601,384.630185498333,388.517696096346,NA,NA,NA
Brasil,State,2020-05-15,gamma,cum_cases,8171.11111111112,NA,0.897199366570329,544.236142848838,546.827816580847,NA,NA,NA
Brasil,State,2020-05-15,gamma,cum_deaths,554.925925925926,NA,0.532796757750417,389.886892559089,392.478566291097,NA,NA,NA
