region,subregion,information,tfs_coefficient_r2_99,tfs_exponent_r2_99,tfs_coefficient_r2_95,tfs_exponent_r2_95,tfs_coefficient_r2_90,tfs_exponent_r2_90
Brasil,State,cases,0.9812646984212824,0.9812646984212824,0.9929738255749464,0.9929738255749464,0.9974341127983135,0.9974341127983135
Brasil,State,deaths,0.9900663375045142,0.9900663375045142,0.99317308251757,0.99317308251757,0.9944391002544002,0.9944391002544002
Colombia,Municipalities,cases,0.03525352541213617,0.03525352541213617,0.9165677413868388,0.9165677413868388,0.9869408616003352,0.9869408616003352
Colombia,Municipalities,deaths,0.007280427727052295,0.007280427727052295,0.12557505228788635,0.12557505228788635,0.34703469396386283,0.34703469396386283
Europe,Country,cases,0.14412236280592874,0.14412236280592874,0.7496727938986623,0.7496727938986623,0.8259886220234465,0.8259886220234465
Europe,Country,deaths,0.9292078829796802,0.9292078829796802,0.9776338040224404,0.9776338040224404,0.9888763889841179,0.9888763889841179
Georgia,County,cases,0.9990596596957699,0.9990596596957699,0.9991575835883034,0.9991575835883034,0.9992741820777198,0.9992741820777198
Georgia,County,deaths,0.9997784805769327,0.9997784805769327,0.9997792209423728,0.9997792209423728,0.9997800762090175,0.9997800762090175
Illinois,County,cases,0.9998847957715482,0.9998847957715482,0.9998892169567403,0.9998892169567403,0.9998985906996664,0.9998985906996664
Illinois,County,deaths,0.9997873603285299,0.9997873603285299,0.9997888533925834,0.9997888533925834,0.9997942838901377,0.9997942838901377
India,State,cases,0.9992602527985017,0.9992602527985017,0.9994377911252547,0.9994377911252547,0.9994594758604178,0.9994594758604178
India,State,deaths,0.9953250609409148,0.9953250609409148,0.9953872189424008,0.9953872189424008,0.995563687904947,0.995563687904947
Kentucky,County,cases,0.999884993618533,0.999884993618533,0.99989094972724,0.99989094972724,0.999896594811394,0.999896594811394
Kentucky,County,deaths,0.9999202446667621,0.9999202446667621,0.9999220032515423,0.9999220032515423,0.9999241288516627,0.9999241288516627
Missouri,County,cases,0.9990106746376666,0.9990106746376666,0.999120741064648,0.999120741064648,0.999265413166633,0.999265413166633
North Carolina,County,cases,0.992413102169462,0.992413102169462,0.99265759736694,0.99265759736694,0.9942070496358344,0.9942070496358344
Spain,Province,cases,0.121316240919783,0.121316240919783,0.7743514290872622,0.7743514290872622,0.9854031986712215,0.9854031986712215
Spain,Province,deaths,0.9974353946548042,0.9974353946548042,0.9986396112319855,0.9986396112319855,0.9992602341467208,0.9992602341467208
Texas,County,cases,0.4049497331292537,0.4049497331292537,0.919186198565246,0.919186198565246,0.990621668008383,0.990621668008383
Texas,County,deaths,0.9988208028696277,0.9988208028696277,0.9989922817055301,0.9989922817055301,0.9993215056474632,0.9993215056474632
USA,State,cases,0.1269735654318198,0.1269735654318198,0.8077795897637153,0.8077795897637153,0.9558422991148576,0.9558422991148576
USA,State,deaths,0.969331453244305,0.969331453244305,0.9945788206934614,0.9945788206934614,0.995462796141675,0.995462796141675
Virginia,County,cases,0.9999806615822249,0.9999806615822249,0.9999808189651653,0.9999808189651653,0.9999810200747534,0.9999810200747534
Virginia,County,deaths,0.9999775554289501,0.9999775554289501,0.9999775855021318,0.9999775855021318,0.9999776173984511,0.9999776173984511
World,Country,cases,0.9971436851615276,0.9971436851615276,0.9978924830806952,0.9978924830806952,0.998199061976174,0.998199061976174
World,Country,deaths,0.9964647244216682,0.9964647244216682,0.998484238447287,0.998484238447287,0.9985843850407199,0.9985843850407199
