region,subregion,information,tts_coefficient_r2_0.9,tts_exponent_r2_0.9,tts_coefficient_r2_0.8,tts_exponent_r2_0.8,tts_coefficient_r2_0.7,tts_exponent_r2_0.7
Brasil,State,cases,0.4259459459459459,0.4259459459459459,0.30594594594594593,0.30594594594594593,0.24324324324324326,0.24324324324324326
Brasil,State,deaths,0.3152762730227519,0.3152762730227519,0.228602383531961,0.228602383531961,0.1820151679306609,0.1820151679306609
Colombia,Municipalities,cases,0.5932017543859649,0.5932017543859649,0.46381578947368424,0.46381578947368424,0.38377192982456143,0.38377192982456143
Colombia,Municipalities,deaths,0.5734649122807017,0.5734649122807017,0.41776315789473684,0.41776315789473684,0.3432017543859649,0.3432017543859649
Europe,Country,cases,0.5420454545454545,0.5420454545454545,0.39545454545454545,0.39545454545454545,0.3034090909090909,0.3034090909090909
Europe,Country,deaths,0.44431818181818183,0.44431818181818183,0.32386363636363635,0.32386363636363635,0.22272727272727272,0.22272727272727272
Georgia,County,cases,0.5367727771679474,0.5367727771679474,0.40175631174533477,0.40175631174533477,0.3227222832052689,0.3227222832052689
Georgia,County,deaths,0.33260153677277715,0.33260153677277715,0.2414928649835346,0.2414928649835346,0.1877058177826564,0.1877058177826564
Illinois,County,cases,0.8818681318681318,0.8818681318681318,0.5714285714285714,0.5714285714285714,0.4684065934065934,0.4684065934065934
Illinois,County,deaths,0.8609986504723347,0.8609986504723347,0.7408906882591093,0.7408906882591093,0.6288798920377868,0.6288798920377868
India,State,cases,0.7273991655076495,0.7273991655076495,0.5730180806675939,0.5730180806675939,0.47705146036161333,0.47705146036161333
India,State,deaths,0.655076495132128,0.655076495132128,0.4909596662030598,0.4909596662030598,0.38386648122392214,0.38386648122392214
Kansas,County,cases,0.5977777777777777,0.5977777777777777,0.46111111111111114,0.46111111111111114,0.3688888888888889,0.3688888888888889
Kansas,County,deaths,0.6006944444444444,0.6006944444444444,0.46064814814814814,0.46064814814814814,0.37962962962962965,0.37962962962962965
Kentucky,County,cases,0.5258525852585259,0.5258525852585259,0.39383938393839385,0.39383938393839385,0.30803080308030806,0.30803080308030806
Kentucky,County,deaths,0.21892189218921893,0.21892189218921893,0.12431243124312431,0.12431243124312431,0.09790979097909791,0.09790979097909791
Missouri,County,cases,0.6611177170035671,0.6611177170035671,0.49702734839476814,0.49702734839476814,0.4090368608799049,0.4090368608799049
Missouri,County,deaths,0.6038882138517618,0.6038882138517618,0.4374240583232078,0.4374240583232078,0.3572296476306197,0.3572296476306197
North Carolina,County,cases,0.535675082327113,0.535675082327113,0.4061470911086718,0.4061470911086718,0.3227222832052689,0.3227222832052689
North Carolina,County,deaths,0.29857299670691545,0.29857299670691545,0.21734357848518113,0.21734357848518113,0.17453347969264543,0.17453347969264543
Spain,Province,cases,0.7301349325337332,0.7301349325337332,0.5427286356821589,0.5427286356821589,0.4332833583208396,0.4332833583208396
Spain,Province,deaths,0.36431784107946025,0.36431784107946025,0.28335832083958024,0.28335832083958024,0.21889055472263869,0.21889055472263869
Texas,County,cases,0.5352422907488987,0.5352422907488987,0.4118942731277533,0.4118942731277533,0.33480176211453744,0.33480176211453744
Texas,County,deaths,0.525330396475771,0.525330396475771,0.3931718061674009,0.3931718061674009,0.31167400881057267,0.31167400881057267
USA,State,cases,0.5217889908256881,0.5217889908256881,0.3830275229357798,0.3830275229357798,0.29243119266055045,0.29243119266055045
USA,State,deaths,0.2809633027522936,0.2809633027522936,0.1823394495412844,0.1823394495412844,0.14678899082568808,0.14678899082568808
Virginia,County,cases,0.5225027442371021,0.5225027442371021,0.38419319429198684,0.38419319429198684,0.29637760702524696,0.29637760702524696
Virginia,County,deaths,0.43468715697036225,0.43468715697036225,0.2864983534577388,0.2864983534577388,0.2239297475301866,0.2239297475301866
World,Country,cases,0.170995670995671,0.170995670995671,0.11147186147186147,0.11147186147186147,0.0854978354978355,0.0854978354978355
World,Country,deaths,0.012987012987012988,0.012987012987012988,0,0,0,0
