region,statistic,coefficient,slope,information
Brazil,Estimate,-2.2536282389155735,0.8757437947554816,meanlog
Brazil,Standard error,0.11809085316654092,0.009322144607954044,meanlog
Brazil,t value,-19.083850937526307,93.94230958488461,meanlog
Brazil,Pr(>|t|),2.4366075462780654e-28,3.762578797460569e-71,meanlog
Brazil,R2,0.9926885435067246,0.9926885435067246,meanlog
Europe,Estimate,-0.25752244958390963,0.6816653919004607,meanlog
Europe,Standard error,0.1934798197076906,0.01530994472691247,meanlog
Europe,t value,-1.331004184172668,44.52435355316472,meanlog
Europe,Pr(>|t|),0.18839627238379184,1.520410437220075e-46,meanlog
Europe,R2,0.9715744527280236,0.9715744527280236,meanlog
Georgia,Estimate,-3.9377295720786782,1.0477329285909982,meanlog
Georgia,Standard error,0.2758094127108702,0.034382063782583384,meanlog
Georgia,t value,-14.276994876192216,30.473241374234753,meanlog
Georgia,Pr(>|t|),1.8881105766961854e-19,2.129483832438265e-34,meanlog
Georgia,R2,0.9479389138411015,0.9479389138411015,meanlog
Illinois,Estimate,-1.854098508526262,0.719826600497937,meanlog
Illinois,Standard error,0.16843819917584515,0.02044066465118595,meanlog
Illinois,t value,-11.007589238060131,35.215420475878375,meanlog
Illinois,Pr(>|t|),2.588835562905272e-16,3.6993469225887e-43,meanlog
Illinois,R2,0.9516547073963445,0.9516547073963445,meanlog
India,Estimate,-3.8305182741940476,0.9353167607362115,meanlog
India,Standard error,0.1517760467528979,0.013062848323414538,meanlog
India,t value,-25.23796314467461,71.60128768085751,meanlog
India,Pr(>|t|),5.617523752633661e-29,1.2172073067419288e-49,meanlog
India,R2,0.9909156702789195,0.9909156702789195,meanlog
Kansas,Estimate,-0.24569254764885845,0.47961928877139853,meanlog
Kansas,Standard error,0.1282005202722378,0.016664904798167356,meanlog
Kansas,t value,-1.9164707532163103,28.78019974192366,meanlog
Kansas,Pr(>|t|),0.06399980213572468,5.926745968939207e-25,meanlog
Kansas,R2,0.9616858191811545,0.9616858191811545,meanlog
Kentucky,Estimate,-2.7307751920066927,0.8159691247064368,meanlog
Kentucky,Standard error,0.1195282960509688,0.014156847974367072,meanlog
Kentucky,t value,-22.846265547383407,57.63776839193736,meanlog
Kentucky,Pr(>|t|),2.6055421955067963e-25,1.3010343227256077e-41,meanlog
Kentucky,R2,0.9875152802016574,0.9875152802016574,meanlog
Missouri,Estimate,-5.945661518581456,1.2144466698473386,meanlog
Missouri,Standard error,0.313357383398464,0.038869693013951025,meanlog
Missouri,t value,-18.974059120927038,31.244050973375376,meanlog
Missouri,Pr(>|t|),2.541195875299979e-19,4.3262902420680893e-26,meanlog
Missouri,R2,0.9673005316974361,0.9673005316974361,meanlog
North Carolina,Estimate,-2.2511768690277334,0.7597423626945775,meanlog
North Carolina,Standard error,0.1553892587052368,0.01715861275405482,meanlog
North Carolina,t value,-14.487339007762872,44.277609943440204,meanlog
North Carolina,Pr(>|t|),1.0350544155501457e-19,2.262722564795754e-42,meanlog
North Carolina,R2,0.974645871710279,0.974645871710279,meanlog
Spain,Estimate,1.6868693580452019,0.4724249071186872,meanlog
Spain,Standard error,0.18518487040027223,0.017608381270563984,meanlog
Spain,t value,9.10911001746027,26.829547807920434,meanlog
Spain,Pr(>|t|),9.187749772079237e-11,6.243522584022295e-25,meanlog
Spain,R2,0.9536316140858031,0.9536316140858031,meanlog
Texas,Estimate,-2.2150085209496018,0.7956670266146616,meanlog
Texas,Standard error,0.11088790205859583,0.013951302854941785,meanlog
Texas,t value,-19.975204506792256,57.03173638244281,meanlog
Texas,Pr(>|t|),3.7852252560800095e-27,2.6831252897731127e-51,meanlog
Texas,R2,0.983074509103317,0.983074509103317,meanlog
USA,Estimate,-1.16352261043992,0.7478228745221097,meanlog
USA,Standard error,0.4677954691382314,0.038183131523724316,meanlog
USA,t value,-2.4872464296914862,19.585163518017506,meanlog
USA,Pr(>|t|),0.03457787612935386,1.092231373801026e-8,meanlog
USA,R2,0.9770746563577087,0.9770746563577087,meanlog
Virginia,Estimate,-1.939591415731715,0.7334930289625642,meanlog
Virginia,Standard error,0.15868347999520283,0.018823984387062585,meanlog
Virginia,t value,-12.223020416431194,38.965875336503245,meanlog
Virginia,Pr(>|t|),4.740173099604212e-16,7.050592827725974e-37,meanlog
Virginia,R2,0.9705946172537575,0.9705946172537575,meanlog
World,Estimate,-1.726238167461881,0.7681247502200658,meanlog
World,Standard error,0.12563795652839396,0.011258211319823172,meanlog
World,t value,-13.739782269315675,68.22795632442707,meanlog
World,Pr(>|t|),6.7699803535487085e-21,3.2594275068094364e-62,meanlog
World,R2,0.9862289711798568,0.9862289711798568,meanlog
