region,subregion,date,cases,deaths,ma_days,lag_days,ma_cases,ma_deaths
Brazil,State,2020-02-25,1,0,10,22,NA,NA
Brazil,State,2020-02-26,0,0,10,22,NA,NA
Brazil,State,2020-02-27,0,0,10,22,NA,NA
Brazil,State,2020-02-28,1,0,10,22,NA,NA
Brazil,State,2020-02-29,0,0,10,22,NA,NA
Brazil,State,2020-03-01,0,0,10,22,1,0
Brazil,State,2020-03-02,0,0,10,22,1.5500000000000003,0
Brazil,State,2020-03-03,0,0,10,22,2.1,0
Brazil,State,2020-03-04,1,0,10,22,2.35,0
Brazil,State,2020-03-05,4,0,10,22,2.75,0
Brazil,State,2020-03-06,7,0,10,22,4.15,0
Brazil,State,2020-03-07,5,0,10,22,6.900000000000001,0
Brazil,State,2020-03-08,6,0,10,22,9.55,0
Brazil,State,2020-03-09,0,0,10,22,12.15,0
Brazil,State,2020-03-10,9,0,10,22,17.849999999999998,0
Brazil,State,2020-03-11,19,0,10,22,24.150000000000002,0
Brazil,State,2020-03-12,36,0,10,22,28.950000000000003,0.05
Brazil,State,2020-03-13,17,0,10,22,40.15,0.25
Brazil,State,2020-03-14,36,0,10,22,55.35000000000001,0.55
Brazil,State,2020-03-15,83,0,10,22,77.9,0.9
Brazil,State,2020-03-16,54,0,10,22,104.25000000000001,1.4500000000000002
Brazil,State,2020-03-17,54,1,10,22,132.50000000000003,2.1500000000000004
Brazil,State,2020-03-18,181,3,10,22,167.55,2.9499999999999997
Brazil,State,2020-03-19,129,3,10,22,197.95000000000005,4.05
Brazil,State,2020-03-20,331,4,10,22,222.70000000000002,5.3
Brazil,State,2020-03-21,224,7,10,22,252.6,6.800000000000001
Brazil,State,2020-03-22,396,7,10,22,292.70000000000005,8.450000000000003
Brazil,State,2020-03-23,358,9,10,22,329.20000000000005,10.15
Brazil,State,2020-03-24,303,13,10,22,355.65000000000003,12.15
Brazil,State,2020-03-25,311,12,10,22,368.05,14.35
Brazil,State,2020-03-26,424,18,10,22,415.75000000000006,16.950000000000006
Brazil,State,2020-03-27,486,16,10,22,498.15000000000015,20.15
Brazil,State,2020-03-28,479,22,10,22,574.25,24.500000000000004
Brazil,State,2020-03-29,360,24,10,22,655.25,29.45
Brazil,State,2020-03-30,348,27,10,22,738.5999999999999,35.199999999999996
Brazil,State,2020-03-31,1161,36,10,22,812.4499999999999,40.300000000000004
Brazil,State,2020-04-01,1107,42,10,22,861,44.85000000000001
Brazil,State,2020-04-02,1169,61,10,22,945.7000000000002,52.650000000000006
Brazil,State,2020-04-03,1112,60,10,22,1103.55,63.15000000000001
Brazil,State,2020-04-04,1169,80,10,22,1273.75,73.99999999999999
Brazil,State,2020-04-05,1043,52,10,22,1382.25,83.2
Brazil,State,2020-04-06,838,73,10,22,1408.7000000000003,88.39999999999999
Brazil,State,2020-04-07,1821,121,10,22,1420.8500000000001,91.45
Brazil,State,2020-04-08,2175,135,10,22,1450.6,96.20000000000002
Brazil,State,2020-04-09,1937,133,10,22,1502.6000000000001,105.20000000000002
Brazil,State,2020-04-10,1742,114,10,22,1649.55,118.74999999999999
Brazil,State,2020-04-11,1055,68,10,22,1821.7000000000003,132.75
Brazil,State,2020-04-12,1464,96,10,22,1957.65,143.70000000000002
Brazil,State,2020-04-13,1412,120,10,22,2061.55,151.55
Brazil,State,2020-04-14,1909,200,10,22,2095.9500000000003,154.05000000000004
Brazil,State,2020-04-15,3242,203,10,22,2100.1000000000004,152.85
Brazil,State,2020-04-16,2082,202,10,22,2184.3500000000004,157.8
Brazil,State,2020-04-17,3296,211,10,22,2332.5,166.75000000000003
Brazil,State,2020-04-18,2778,202,10,22,2519.65,184.8
Brazil,State,2020-04-19,2022,116,10,22,2743.05,207.85000000000002
Brazil,State,2020-04-20,1740,107,10,22,2945.95,223.95000000000002
Brazil,State,2020-04-21,2742,174,10,22,3130.45,232.64999999999998
Brazil,State,2020-04-22,2740,169,10,22,3254.55,238.60000000000002
Brazil,State,2020-04-23,3879,408,10,22,3469.6499999999996,257.6
Brazil,State,2020-04-24,3910,373,10,22,3851.25,288.25000000000006
Brazil,State,2020-04-25,5299,352,10,22,4339.3,321.4
Brazil,State,2020-04-26,3715,227,10,22,4758.5,352.45
Brazil,State,2020-04-27,4145,305,10,22,5007.25,376.8
Brazil,State,2020-04-28,6231,488,10,22,5144.2,379.84999999999997
Brazil,State,2020-04-29,6201,443,10,22,5326.0999999999995,369.34999999999997
Brazil,State,2020-04-30,7322,443,10,22,5585.0999999999995,377.85
Brazil,State,2020-05-01,5544,459,10,22,6031.700000000002,409.70000000000005
Brazil,State,2020-05-02,4913,371,10,22,6652.450000000001,448.1
Brazil,State,2020-05-03,4445,267,10,22,7140.55,479.9
Brazil,State,2020-05-04,6982,304,10,22,7547.15,504.59999999999997
Brazil,State,2020-05-05,7407,591,10,22,7692.05,517.75
Brazil,State,2020-05-06,10539,625,10,22,7672.65,520.8000000000001
Brazil,State,2020-05-07,9736,675,10,22,7940.950000000001,545.65
Brazil,State,2020-05-08,10402,754,10,22,8538,594.7500000000001
Brazil,State,2020-05-09,10162,671,10,22,9257.900000000001,644.5500000000001
Brazil,State,2020-05-10,6259,478,10,22,10018.05,684.95
Brazil,State,2020-05-11,6219,485,10,22,10596.6,705.8
Brazil,State,2020-05-12,9604,842,10,22,10669.05,701.75
Brazil,State,2020-05-13,11695,778,10,22,10773.35,691.4
Brazil,State,2020-05-14,14130,789,10,22,11347.05,713.7499999999999
Brazil,State,2020-05-15,15462,914,10,22,12411.2,763.0500000000001
Brazil,State,2020-05-16,14055,719,10,22,13705.500000000002,817.5999999999999
Brazil,State,2020-05-17,7669,500,10,22,14911.400000000001,856.2500000000001
Brazil,State,2020-05-18,14555,722,10,22,15786.85,879.0999999999999
Brazil,State,2020-05-19,17483,1150,10,22,16069.949999999999,885.95
Brazil,State,2020-05-20,20221,985,10,22,15953.150000000001,870.0000000000001
Brazil,State,2020-05-21,18143,1069,10,22,15932.4,877.4000000000001
Brazil,State,2020-05-22,21798,1031,10,22,16672.250000000004,922.2000000000002
Brazil,State,2020-05-23,17010,1046,10,22,17987.6,973.5500000000001
Brazil,State,2020-05-24,14477,658,10,22,19146.850000000002,996.3000000000001
Brazil,State,2020-05-25,12779,726,10,22,20222.15,989.65
Brazil,State,2020-05-26,16323,1055,10,22,20581.05,953.6500000000001
Brazil,State,2020-05-27,20198,1060,10,22,20002.55,909.25
Brazil,State,2020-05-28,28333,1189,10,22,20403.2,910.6999999999999
Brazil,State,2020-05-29,26890,1138,10,22,21716.699999999997,953.4
Brazil,State,2020-05-30,32320,864,10,22,23255.65,1019.4
Brazil,State,2020-05-31,13222,470,10,22,25002.95,1059.65
Brazil,State,2020-06-01,15149,742,10,22,25971.3,1047.75
Brazil,State,2020-06-02,31672,1364,10,22,25633.500000000004,999.1500000000001
Brazil,State,2020-06-03,26085,1194,10,22,24638.350000000002,949.75
Brazil,State,2020-06-04,31950,1510,10,22,24129.200000000004,952.45
Brazil,State,2020-06-05,32098,1076,10,22,25126.15,1007.2
Brazil,State,2020-06-06,23790,801,10,22,26834.95,1071.85
Brazil,State,2020-06-07,17985,476,10,22,27144.55,1072.1000000000001
Brazil,State,2020-06-08,17335,863,10,22,26528.899999999998,1029.15
Brazil,State,2020-06-09,31692,1193,10,22,25526.2,968.5000000000001
Brazil,State,2020-06-10,33789,1236,10,22,24394.2,909.0999999999999
Brazil,State,2020-06-11,28758,1269,10,22,24679.700000000004,920.0500000000001
Brazil,State,2020-06-12,24255,842,10,22,25986.050000000003,982.05
Brazil,State,2020-06-13,21189,857,10,22,27041.9,1036.2000000000003
Brazil,State,2020-06-14,16792,634,10,22,28669.15,1053.8500000000001
Brazil,State,2020-06-15,24616,764,10,22,29640.55,1040.1000000000001
Brazil,State,2020-06-16,36982,1332,10,22,28784.200000000008,994.4000000000001
Brazil,State,2020-06-17,30920,1185,10,22,28286.250000000004,956.0500000000001
Brazil,State,2020-06-18,25517,1237,10,22,29313.450000000004,978.1
Brazil,State,2020-06-19,56055,1172,10,22,31442.050000000003,1029.3
Brazil,State,2020-06-20,28854,982,10,22,33497.5,1073.5500000000002
Brazil,State,2020-06-21,16566,609,10,22,34734.85,1077
Brazil,State,2020-06-22,26488,735,10,22,35429.7,1052.5
Brazil,State,2020-06-23,39500,1405,10,22,36103.25,1013.1500000000001
Brazil,State,2020-06-24,41053,1110,10,22,34746.1,958.4000000000001
Brazil,State,2020-06-25,41464,1173,10,22,33556.6,952.1
Brazil,State,2020-06-26,44881,992,10,22,35610.850000000006,992.5500000000002
Brazil,State,2020-06-27,36918,1035,10,22,38019.299999999996,1042.55
Brazil,State,2020-06-28,32990,600,10,22,39091.700000000004,1059.1000000000001
Brazil,State,2020-06-29,21439,714,10,22,38894.25000000001,1046.8500000000001
Brazil,State,2020-06-30,39680,1314,10,22,37706.299999999996,1013.5
Brazil,State,2020-07-01,46825,1086,10,22,35871.25000000001,967.35
Brazil,State,2020-07-02,44398,1258,10,22,35338.700000000004,965.1
Brazil,State,2020-07-03,43038,1213,10,22,36440.55,1006.9499999999999
Brazil,State,2020-07-04,33566,1057,10,22,38129.35,1061
Brazil,State,2020-07-05,25192,559,10,22,39436.7,1085.65
Brazil,State,2020-07-06,24452,683,10,22,39074.25,1077.1499999999999
Brazil,State,2020-07-07,46696,1299,10,22,37443.25000000001,1037.3500000000001
Brazil,State,2020-07-08,45249,1173,10,22,35381.25,986.25
Brazil,State,2020-07-09,42956,1222,10,22,34816.50000000001,979.4
Brazil,State,2020-07-10,44310,1299,10,22,36045.299999999996,1027.2
Brazil,State,2020-07-11,34946,931,10,22,37783.2,1094.6500000000003
Brazil,State,2020-07-12,23657,617,10,22,38151.700000000004,1117.7000000000003
Brazil,State,2020-07-13,22539,832,10,22,36573.15,1092.4500000000003
Brazil,State,2020-07-14,42770,1301,10,22,34608.40000000001,1050.0500000000002
Brazil,State,2020-07-15,40564,1271,10,22,32556.300000000003,997.8500000000003
Brazil,State,2020-07-16,43838,1320,10,22,32090.250000000004,990.9000000000001
Brazil,State,2020-07-17,34680,1123,10,22,34813.95,1044.15
Brazil,State,2020-07-18,25694,844,10,22,38677.95,1102.15
Brazil,State,2020-07-19,23216,703,10,22,41116.3,1118.2499999999998
Brazil,State,2020-07-20,23008,774,10,22,42163.5,1102.1499999999999
Brazil,State,2020-07-21,46927,1317,10,22,41453.3,1056.55
Brazil,State,2020-07-22,66150,1296,10,22,40060.8,997.15
Brazil,State,2020-07-23,57326,1313,10,22,41141.74999999999,995.85
Brazil,State,2020-07-24,56750,1142,10,22,44167.950000000004,1041.2500000000002
Brazil,State,2020-07-25,47528,1108,10,22,47536.75,1087.4
Brazil,State,2020-07-26,22670,571,10,22,49605.149999999994,1106.4999999999998
Brazil,State,2020-07-27,27998,684,10,22,48684.65,1086.25
Brazil,State,2020-07-28,53995,1257,10,22,45798.00000000001,1029.4
Brazil,State,2020-07-29,55439,1198,10,22,42302.450000000004,963.3000000000001
Brazil,State,2020-07-30,58161,1202,10,22,40886.450000000004,946.7500000000001
Brazil,State,2020-07-31,53142,1271,10,22,43010.950000000004,998.4
Brazil,State,2020-08-01,41525,937,10,22,45998.100000000006,1066.4500000000003
Brazil,State,2020-08-02,24218,535,10,22,47068.05,1084.8500000000001
Brazil,State,2020-08-03,19947,598,10,22,46384.950000000004,1057.5500000000002
Brazil,State,2020-08-04,56011,1321,10,22,44147.70000000001,1007.2
Brazil,State,2020-08-05,56677,1391,10,22,41050.700000000004,951.4
