region,subregion,date,tfs_coefficient_value,tfs_exponent_value,tfs_coefficient_sd,tfs_exponent_sd,tfs_coefficient_r2,tfs_exponent_r2,information,window_flag,length
Brazil,State,2020-06-02,-0.0360784866553779,2.06195878251956,0.0708941816064384,0.00814729171526011,0.998628003554343,0.998628003554343,cases,fixed,90
Brazil,State,2020-06-03,0.113732239000463,2.04579671136689,0.0519152953582551,0.00590775833058751,0.999266695119733,0.999266695119733,cases,fixed,90
Brazil,State,2020-06-04,0.178808372496836,2.03886156689516,0.0488381037144056,0.00550413239468564,0.999359076053941,0.999359076053941,cases,fixed,90
Brazil,State,2020-06-05,0.209269869346608,2.03566235895342,0.0495316636660137,0.0055297717735376,0.999351061303156,0.999351061303156,cases,fixed,90
Brazil,State,2020-06-06,0.252149398785059,2.0312131773282,0.0489164626750421,0.0054107513948536,0.999375955273009,0.999375955273009,cases,fixed,90
Brazil,State,2020-06-07,0.309549639839117,2.02531429347781,0.0460622153710432,0.00504899291820312,0.999453399670183,0.999453399670183,cases,fixed,90
Brazil,State,2020-06-08,0.308834793620405,2.02541806205131,0.0455802239979584,0.00497717380032342,0.999462853290444,0.999462853290444,cases,fixed,90
Brazil,State,2020-06-09,0.374388426919231,2.01875877439486,0.0405567152319083,0.00438983551516469,0.999579336416396,0.999579336416396,cases,fixed,90
Brazil,State,2020-06-10,0.429225594454112,2.01325305262647,0.0366837870108287,0.00393660178094999,0.999659835892648,0.999659835892648,cases,fixed,90
Brazil,State,2020-06-11,0.456899325752539,2.01053178362275,0.0364678901690838,0.0038807264116808198,0.999668525448362,0.999668525448362,cases,fixed,90
Brazil,State,2020-06-12,0.489843149100722,2.00730758405839,0.0355381733224207,0.00375088740082587,0.999689332896739,0.999689332896739,cases,fixed,90
Brazil,State,2020-06-13,0.524690882214881,2.00391954998612,0.0341930962323206,0.00358009429602215,0.999716015247391,0.999716015247391,cases,fixed,90
Brazil,State,2020-06-14,0.541777971713644,2.00230051925734,0.0346939784426249,0.00360427411216192,0.999711701828888,0.999711701828888,cases,fixed,90
Brazil,State,2020-06-15,0.557796121211965,2.00079087502583,0.0352707035924695,0.0036363740657539,0.999706102388083,0.999706102388083,cases,fixed,90
Brazil,State,2020-06-16,0.579591217355174,1.99872646424976,0.03537551278154,0.00362012362967489,0.999708120693682,0.999708120693682,cases,fixed,90
Brazil,State,2020-06-17,0.586471628890284,1.99810820560527,0.0364147959121746,0.00369956192408137,0.999694985759704,0.999694985759704,cases,fixed,90
Brazil,State,2020-06-18,0.588560420627682,1.99794412569975,0.0375684729117045,0.00378990435370557,0.999679859387611,0.999679859387611,cases,fixed,90
Brazil,State,2020-06-19,0.570687314639744,1.99967012279604,0.0381476552787587,0.00382202662571607,0.999674972934415,0.999674972934415,cases,fixed,90
Brazil,State,2020-06-20,0.547141800493696,2.00190789245335,0.0381644548820884,0.00379828823860548,0.999679713569324,0.999679713569324,cases,fixed,90
Brazil,State,2020-06-21,0.515909925620529,2.00483509430286,0.0370720584783142,0.00366573443980778,0.999702542111551,0.999702542111551,cases,fixed,90
Brazil,State,2020-06-22,0.48232182431499,2.00794503872737,0.0352546976056997,0.00346412889012504,0.999735174731136,0.999735174731136,cases,fixed,90
