region,subregion,information,min_tfs_coefficient,max_tfs_coefficient,min_tfs_exponent,max_tfs_exponent,tfs_r2_99,tfs_r2_95,tfs_r2_90
Brazil,State,cases,-9.80116351842027,20.9584663613305,0.30013467885472,2.76710234645675,0.98129444762049,0.993630341122223,0.997543485561368
Brazil,State,deaths,-9.80116351842027,20.9584663613305,0.30013467885472,2.76710234645675,0.9888091176541804,0.9906308801902907,0.9934134819203347
Europe,Country,cases,-50.0583369065693,20.4365803221273,0.732533577055869,4.84421671885894,0.9663495725981819,0.9815251475595745,0.9901525708473355
Europe,Country,deaths,-50.0583369065693,20.4365803221273,0.732533577055869,4.84421671885894,0.9632617161738042,0.9770615349880962,0.9899395258743462
Georgia,County,cases,-2.93662116935559,15.6499582384129,1.13632540408203,2.16805006431129,0.9991303330665599,0.9992160845521241,0.999317524728196
Georgia,County,deaths,-2.93662116935559,15.6499582384129,1.13632540408203,2.16805006431129,0.9996184195387714,0.9996189208128389,0.9996210100243565
Illinois,County,cases,18.8040173436852,32.6935178117851,-0.0607641572837579,0.762924845060471,0.9985291734284644,0.998590388400265,0.9991080579664018
Illinois,County,deaths,18.8040173436852,32.6935178117851,-0.0607641572837579,0.762924845060471,0.06282276543737376,0.6007659660173547,0.8617923763346185
India,State,cases,3.99952633613947,35.3958941551519,-0.316906344874188,1.61178892743623,0.9741362464302128,0.9748189599808504,0.9767576261334692
India,State,deaths,3.99952633613947,35.3958941551519,-0.316906344874188,1.61178892743623,0.012917591456417327,0.19493401122392384,0.48727076446570283
Kentucky,County,cases,16.9755762948568,33.6213924531407,0.16489733173923601,0.700762547838756,0.9982076975388564,0.998619619201623,0.999017788163161
Kentucky,County,deaths,16.9755762948568,33.6213924531407,0.16489733173923601,0.700762547838756,0.9997639225446913,0.9997705643952804,0.9997785468221618
Missouri,County,cases,37.3562369672399,42.6631265862302,-0.312305958162321,-0.0324936499252726,0.9607899914271144,0.9787406929636845,0.98834089209188
North Carolina,County,cases,44.3312213605839,45.0679584212589,-0.438877715800595,-0.400115384200941,0.9997474860730329,0.9997504960514757,0.9997542909012619
Spain,Province,cases,26.3954629586061,49.1367147330861,-0.652675807520182,0.0431550255194518,0.9908390784422847,0.9938914652467259,0.9983872121360817
Spain,Province,deaths,26.3954629586061,49.1367147330861,-0.652675807520182,0.0431550255194518,0.02052925425451591,0.3090974339159356,0.6710758740242144
Texas,County,cases,26.2965165135247,45.9271544277639,-0.484396003921538,0.049808251043401,0.9998297871811672,0.9998760554367114,0.999891210520925
Texas,County,deaths,26.2965165135247,45.9271544277639,-0.484396003921538,0.049808251043401,0.050470299378120996,0.3868390289467601,0.47492291058435493
Virginia,County,cases,-36.9119997969469,-14.8410242189459,2.69174044276605,4.41004346529577,0.9999648810247587,0.9999652948970621,0.999965538786441
Virginia,County,deaths,-36.9119997969469,-14.8410242189459,2.69174044276605,4.41004346529577,0.999952107942933,0.999952459501193,0.99995294727144
World,Country,cases,-124.395047864915,-6.68907945262995,2.2672459119152,9.16640039320572,0.9974791237909196,0.9982328922253794,0.9985390865065431
World,Country,deaths,-124.395047864915,-6.68907945262995,2.2672459119152,9.16640039320572,0.9973807673198043,0.9988797886575113,0.9989571691995435
