region,subregion,information,min_tfs_coefficient,max_tfs_coefficient,min_tfs_exponent,max_tfs_exponent,tfs_r2_99,tfs_r2_95,tfs_r2_90
Brazil,State,cases,-0.306968880403128,1.56361942320387,1.87375722505907,2.10353051180034,0.996485536636667,0.9965477849664109,0.9965902663793613
Brazil,State,deaths,-0.551770069009619,1.15317035087753,1.84960209943437,2.11397782438527,0.9942889515093729,0.9943880503735039,0.9946184840384665
Europe,Country,cases,-18.6174933289451,18.1375953194372,0.868567057064547,3.04146501909191,0.9107964897573013,0.9125259089599623,0.9175879129791744
Europe,Country,deaths,-9.29515729849881,17.9579502175914,0.530264564198573,2.61498579590435,0.8917656440175801,0.924451344157052,0.927708051210346
Georgia,County,cases,-4.6866820755342,10.4437033876949,1.42134139110294,2.26617448364324,0.9819110234255037,0.982800400270884,0.983894450804366
Georgia,County,deaths,1.38286323244582,10.2116251268881,1.18918128868633,1.8321905277457,0.9812231587504339,0.9824808337973036,0.9839935449137709
Illinois,County,cases,22.1386415323353,27.8362639811428,0.472165345542939,0.781571017968753,0.9679860016153172,0.9709550089726614,0.9743239967866798
Illinois,County,deaths,18.554393092482,23.7049863130536,0.220095654280782,0.58888733882807,0.814080090501554,0.841664639734928,0.86976457014261
India,State,cases,28.590827407622,35.169923946917,0.0777824195680653,0.430303518057445,0.8642489661596557,0.8652251185384485,0.8681789073127828
India,State,deaths,14.0538486026345,31.2343906675985,-0.315044502204831,0.902517562587578,0.0016377491694678993,0.03446306286511608,0.12261054372961641
Kansas,County,cases,23.478147789914,26.4840348437916,0.543217807101401,0.703127938009863,0.9929250446206972,0.9934640565503692,0.99410732037134
Kansas,County,deaths,6.19535561607254,9.31926260158141,1.23742572459269,1.45716803103328,0.9974035970225688,0.9975746428073126,0.9977808061236837
Kentucky,County,cases,30.0851690883947,33.5216110909233,0.170110500163956,0.352169759046594,0.9200430158262776,0.9290694460396958,0.939399651690386
Kentucky,County,deaths,13.108232041494,16.9554515041183,0.70206302292125,0.971593722682685,0.9894893208060529,0.9902833153792441,0.9912539568448193
Missouri,County,cases,37.1498904072852,40.3991343670852,-0.193067770223962,-0.021599286347967,0.9413289115375607,0.9413612527862651,0.9415215262633394
Missouri,County,deaths,20.905025786238,23.5292113011991,0.243175381247786,0.426213090167731,0.9613813259810957,0.9649835233429355,0.969290899096729
North Carolina,County,cases,44.0592070229235,46.4863066985044,-0.513491996957178,-0.385800597723188,0.9963013224502143,0.9963089851781708,0.996349081171172
North Carolina,County,deaths,26.3062952184442,28.3215768209822,-0.0902269102912375,0.0498963024291726,0.002680306979274859,0.053907805029328924,0.17979915972451443
Spain,Province,cases,47.833426979511,48.7749424946288,-0.633693615403197,-0.584264561264271,0.9995401882992581,0.9995494794185383,0.9995760570560043
Spain,Province,deaths,27.4961133311452,29.050553290318,-0.140859594169655,-0.0330648066842706,0.6384235279149555,0.640336338765742,0.6460530178727685
Texas,County,cases,44.4383303684747,45.4043335279275,-0.457045649861358,-0.406449246560406,0.9995885706218972,0.999599206962346,0.9996291938315103
Texas,County,deaths,26.8191168518769,28.0479835258248,-0.0712282271378764,0.0137261143232738,3.947894760363051e-4,0.009237917907504747,0.03409098519538671
USA,State,cases,3.51621073138236,37.1723574416107,-0.0268154095889629,1.73200554585811,0.00208405091980428,0.0674129090198427,0.247722510553555
USA,State,deaths,-28.987264757511,3.68260777252145,1.60957612860391,3.86270479322189,0.9299500351759533,0.9306604259501148,0.9340865627951955
Virginia,County,cases,-25.9978508118725,-16.0331932422943,2.75372131622579,3.27384699305392,0.997785171309765,0.9979188602579319,0.9980809398374648
Virginia,County,deaths,-48.6373759580574,-33.4757814309867,4.17335506918698,5.21723325819092,0.9964029715936997,0.9966148768474402,0.9968732599390518
World,Country,cases,-87.0985496196245,-6.70143921650859,2.26788870717688,6.44618042189099,0.9713539256355723,0.9717147404079931,0.9727319128479055
World,Country,deaths,-90.7330864798652,-23.8966280953474,3.51596153771728,8.09301134241422,0.984581034778378,0.984766148073677,0.9853679819687444
