region,subregion,information,time_series,min_tts_coefficient,max_tts_coefficient,min_tts_exponent,max_tts_exponent,tts_r2_95,tts_r2_85,tts_r2_75
Brazil,State,cases,absolute log-return,-0.016890987412793924,0.051667271877121015,-9.486552715479654e-4,0.25155684103942366,0.6591564983881685,0.8355051719696189,0.8427690862198518
Brazil,State,deaths,absolute log-return,-0.015186814009047492,0.04442212688809765,-0.0016245011852576673,0.2257862793246428,0.4359861746944833,0.8357621727513632,0.8506552797456465
Europe,Country,cases,absolute log-return,-0.0160008564605666,0.05707770060383432,0.0010058495379853501,0.26553522682158603,0.8192524421509406,0.8258650934477179,0.8318992793043662
Europe,Country,deaths,absolute log-return,-0.015375123463957883,0.051387020682800794,0.0011645092401131694,0.21729607643578783,0.8161220787812924,0.8303605540759866,0.8308615110740044
Georgia,County,cases,absolute log-return,-0.028151288887635986,0.03827159850768185,-3.593521167856091e-5,0.18645283096286405,0.8386455504797294,0.8403868658524718,0.8444568748450256
Georgia,County,deaths,absolute log-return,-0.007422379297910853,0.05496756928065838,-3.157174352273493e-4,0.1285643802079147,0.8237790428487402,0.8337264638571226,0.8466119784484152
Illinois,County,cases,absolute log-return,-0.009001306512567114,0.06939345052779139,-7.460278510629717e-4,0.23313996629644487,0.4248098132068101,0.8572139192654569,0.8614861659161775
Illinois,County,deaths,absolute log-return,-0.008941198719313632,0.05015029654672234,-3.350917761415355e-4,0.14179031705179426,0.8401003483343696,0.8611162951983637,0.8643617848443863
India,State,cases,absolute log-return,-0.04200176929525807,0.07864094477342815,-0.020185292820392674,0.26783644658765543,0.011159042394796903,0.09096992659759555,0.23081519965013386
India,State,deaths,absolute log-return,-0.014112200177004208,0.027629006935637128,-0.007654692754715791,0.2131119615731441,0.02099369669120709,0.05800029767250615,0.10185987323452642
Kansas,County,cases,absolute log-return,-0.009506159412616776,0.06933873563555217,-0.0036715830425457325,0.08491183354312101,0.07339024730690318,0.31777177795227346,0.5266358303457556
Kansas,County,deaths,absolute log-return,-0.015350531779826995,0.06899400236260529,-0.0052357325689123,0.11304552120861024,0.023220535271232582,0.1642556083539914,0.38931439884512775
Kentucky,County,cases,absolute log-return,-0.01309318061372989,0.030631822903739624,5.658386795282869e-4,0.15864429345456982,0.8297837864638246,0.8334058043348956,0.8395403271834444
Kentucky,County,deaths,absolute log-return,-0.01147793716434445,0.05331187344424743,-6.395847082953243e-5,0.15928368428039635,0.8460549929021665,0.8520602890667515,0.8569523551120193
Missouri,County,cases,absolute log-return,-0.015491351814109162,0.03784184839205891,5.177142139345373e-4,0.1683818969938715,0.8355666704819851,0.8405449936520535,0.844051322028506
Missouri,County,deaths,absolute log-return,-0.012607296079764982,0.06461689327760242,-1.4221931492799068e-4,0.201850092717103,0.8495985139880724,0.8520997471594834,0.8531532363898546
North Carolina,County,cases,absolute log-return,-0.01495333211884444,0.04404337005251806,5.069917385093819e-4,0.18629090385745764,0.8345301589741944,0.8361884087066329,0.8413348929456487
North Carolina,County,deaths,absolute log-return,-0.009245728244220295,0.060490211892197145,-9.19940767725519e-4,0.17907693727884916,0.541109881917044,0.8524018391617743,0.8590387047811111
Spain,Province,cases,absolute log-return,-0.017529423486661984,0.04744486176536959,0.0016944999472321017,0.1817251186493777,0.8238243873365655,0.828699538421362,0.8293586301136529
Spain,Province,deaths,absolute log-return,-0.011423125825101473,0.053697876690443125,1.7515404181665489e-4,0.16730863686051814,0.8687041678165481,0.8716864774597446,0.8740861341728994
Texas,County,cases,absolute log-return,-0.013144648929499686,0.04519012773935841,4.114394286006943e-5,0.1472745229421223,0.8318513886370893,0.8337352833556961,0.8382741858231124
Texas,County,deaths,absolute log-return,-0.007764422539494376,0.054183866635574,-0.0017430260786312792,0.14429225105980023,0.2647264195792741,0.7710511361977338,0.8489402981325054
USA,State,cases,absolute log-return,-0.009786149240639305,0.0297156670257134,-0.003816331533503936,0.18551628144918322,0.03885843152984544,0.3259608139547904,0.7162186405213098
USA,State,deaths,absolute log-return,-0.01708261179822415,0.01911267899993731,-0.0014534824238987233,0.17715275474537018,0.0646827387207582,0.6326906879786761,0.8316163299043531
Virginia,County,cases,absolute log-return,-0.016240828295363056,0.044364860830398714,-1.880866160162857e-4,0.18371930642825465,0.8226428677567266,0.828579808405623,0.8312221291347202
Virginia,County,deaths,absolute log-return,-0.013071290075632739,0.03517668243853066,-3.636463464629944e-4,0.13609785977835892,0.8311835380525548,0.8352101840248646,0.8373507071950981
World,Country,cases,absolute log-return,-0.01489122103094053,0.03716705072369662,6.424654267886176e-4,0.22267859500232653,0.8247842044976976,0.8288829540999543,0.8356648659623104
World,Country,deaths,absolute log-return,-0.012442967830487046,0.03521239167780895,1.5138199141869155e-4,0.2448509691584016,0.843787714708672,0.8470529712258952,0.8515098170273757
